Focus,Mag,H-Value,V-Value
-0.9,-0.3,1.7,1.645
-0.85,-0.3,1.72,1.64
-0.8,-0.3,1.68,1.636
-0.75,-0.3,1.6,1.618
-0.7,-0.3,1.6,1.615
-0.65,-0.3,1.6,1.62
-0.6,-0.3,1.6,1.644
-0.55,-0.3,1.61,1.617
-0.5,-0.3,1.62,1.634
-0.45,-0.3,1.59,1.634
-0.4,-0.3,1.58,1.627
-0.35,-0.3,1.6,1.631
-0.3,-0.3,1.59,1.638
-0.25,-0.3,1.6,1.626
-0.2,-0.3,1.6,1.645
-0.15,-0.3,1.61,1.633
-0.1,-0.3,1.62,1.646
-0.05,-0.3,1.63,1.643
0,-0.3,1.61,1.636
0.05,-0.3,1.59,1.622
0.1,-0.3,1.6,1.621
0.15,-0.3,1.6,1.629
0.2,-0.3,1.62,1.645
0.25,-0.3,1.64,1.663
0.3,-0.3,1.62,1.655
0.35,-0.3,1.64,1.637
0.4,-0.3,1.69,1.699
0.45,-0.3,1.73,1.667
0.5,-0.3,1.68,1.654
0.55,-0.3,1.7,1.675
0.6,-0.3,1.71,1.664
0.65,-0.3,1.68,1.637
0.7,-0.3,1.76,1.689
0.75,-0.3,1.69,1.655
0.8,-0.3,1.73,1.664
0.85,-0.3,1.74,1.638
0.9,-0.3,1.7,1.674
0.95,-0.3,1.65,1.637
1,-0.3,1.7,1.633
1.05,-0.3,1.74,1.652
1.1,-0.3,1.83,1.682
1.15,-0.3,1.84,1.682
1.2,-0.3,1.91,1.738
1.25,-0.3,1.89,1.703
1.3,-0.3,1.84,1.699
1.35,-0.3,1.75,1.663
1.4,-0.3,1.83,1.697
1.45,-0.3,1.77,1.679
1.5,-0.3,1.79,1.679
1.55,-0.3,1.82,1.684
1.6,-0.3,1.73,1.653
1.65,-0.3,1.76,1.656
1.7,-0.3,1.82,1.703
1.75,-0.3,1.83,1.676
1.8,-0.3,1.87,1.699
1.85,-0.3,1.84,1.659
1.9,-0.3,1.83,1.685
1.95,-0.3,1.82,1.673
-2,0.45,1.73,2.058
-1.95,0.45,1.81,2.126
-1.9,0.45,1.78,2.129
-1.85,0.45,1.8,2.151
-1.8,0.45,1.8,2.167
-1.75,0.45,1.8,2.153
-1.7,0.45,1.84,2.193
-1.65,0.45,1.85,2.195
-1.6,0.45,1.85,2.233
-1.55,0.45,1.92,2.268
-1.5,0.45,1.91,2.262
-1.45,0.45,1.92,2.261
-1.4,0.45,1.88,2.272
-1.35,0.45,1.9,2.27
-1.3,0.45,1.86,2.242
-1.25,0.45,1.88,2.27
-1.2,0.45,1.86,2.241
-1.15,0.45,1.84,2.215
-1.1,0.45,1.82,2.244
-1.05,0.45,1.82,2.235
-1,0.45,1.84,2.229
-0.95,0.45,1.8,2.205
-0.9,0.45,1.78,2.223
-0.85,0.45,1.79,2.199
-0.8,0.45,1.8,2.203
-0.75,0.45,1.78,2.199
-0.7,0.45,1.78,2.207
-0.65,0.45,1.78,2.189
-0.6,0.45,1.77,2.193
-0.55,0.45,1.76,2.165
-0.5,0.45,1.74,2.144
-0.45,0.45,1.76,2.194
-0.4,0.45,1.75,2.168
-0.35,0.45,1.76,2.175
-0.3,0.45,1.76,2.171
-0.25,0.45,1.77,2.163
-0.2,0.45,1.78,2.223
-0.15,0.45,1.79,2.219
-0.1,0.45,1.8,2.23
-0.05,0.45,1.8,2.228
0,0.45,1.81,2.234
0.05,0.45,1.79,2.191
0.1,0.45,1.78,2.206
0.15,0.45,1.76,2.166
0.2,0.45,1.74,2.185
0.25,0.45,1.75,2.15
0.3,0.45,1.72,2.145
0.35,0.45,1.71,2.128
0.4,0.45,1.71,2.123
0.45,0.45,1.68,2.098
0.5,0.45,1.69,2.107
0.55,0.45,1.69,2.107
0.6,0.45,1.7,2.123
0.65,0.45,1.73,2.132
0.7,0.45,1.72,2.134
0.75,0.45,1.72,2.137
0.8,0.45,1.75,2.15
0.85,0.45,1.75,2.166
0.9,0.45,1.75,2.147
0.95,0.45,1.76,2.136
1,0.45,1.8,2.178
1.05,0.45,1.83,2.203
1.1,0.45,1.81,2.211
1.15,0.45,1.8,2.226
1.2,0.45,1.81,2.175
1.25,0.45,1.83,2.186
1.3,0.45,1.81,2.208
1.35,0.45,1.84,2.193
1.4,0.45,1.83,2.187
1.45,0.45,1.87,2.253
1.5,0.45,1.86,2.222
1.55,0.45,1.9,2.211
1.6,0.45,1.95,2.253
1.65,0.45,1.97,2.228
1.7,0.45,1.79,2.13
1.75,0.45,1.75,2.141
1.8,0.45,1.85,2.181
1.85,0.45,1.85,2.146
1.9,0.45,1.96,2.214
1.95,0.45,1.92,2.219
-2,-1.4,1.7,1.773
-1.95,-1.4,1.68,1.766
-1.9,-1.4,1.65,1.707
-1.85,-1.4,1.62,1.674
-1.8,-1.4,1.59,1.661
-1.75,-1.4,1.58,1.627
-1.7,-1.4,1.59,1.65
-1.65,-1.4,1.63,1.701
-1.6,-1.4,1.64,1.754
-1.55,-1.4,1.63,1.719
-1.5,-1.4,1.6,1.67
-1.45,-1.4,1.62,1.698
-1.4,-1.4,1.59,1.652
-1.35,-1.4,1.6,1.647
-1.3,-1.4,1.63,1.75
-1.25,-1.4,1.62,1.684
-1.2,-1.4,1.66,1.75
-1.15,-1.4,1.66,1.722
-1.1,-1.4,1.69,1.834
-1.05,-1.4,1.66,1.749
-1,-1.4,1.65,1.724
-0.95,-1.4,1.67,1.784
-0.9,-1.4,1.65,1.736
-0.85,-1.4,1.65,1.746
-0.8,-1.4,1.64,1.728
-0.75,-1.4,1.63,1.694
-0.7,-1.4,1.64,1.749
-0.65,-1.4,1.64,1.707
-0.6,-1.4,1.64,1.748
-0.55,-1.4,1.64,1.728
-0.5,-1.4,1.64,1.693
-0.45,-1.4,1.64,1.75
-0.4,-1.4,1.65,1.753
-0.35,-1.4,1.69,1.759
-0.3,-1.4,1.65,1.717
-0.25,-1.4,1.65,1.694
-0.2,-1.4,1.65,1.756
-0.15,-1.4,1.64,1.742
-0.1,-1.4,1.64,1.73
-0.05,-1.4,1.64,1.726
0,-1.4,1.63,1.714
0.05,-1.4,1.61,1.636
0.1,-1.4,1.6,1.621
0.15,-1.4,1.64,1.67
0.2,-1.4,1.67,1.797
0.25,-1.4,1.65,1.701
0.3,-1.4,1.61,1.656
0.35,-1.4,1.63,1.669
0.4,-1.4,1.62,1.638
0.45,-1.4,1.62,1.644
0.5,-1.4,1.66,1.673
0.55,-1.4,1.65,1.67
0.6,-1.4,1.68,1.736
0.65,-1.4,1.72,1.777
0.7,-1.4,1.7,1.71
0.75,-1.4,1.69,1.695
0.8,-1.4,1.68,1.714
0.85,-1.4,1.66,1.624
0.9,-1.4,1.67,1.648
0.95,-1.4,1.63,1.634
1,-1.4,1.65,1.636
1.05,-1.4,1.73,1.712
1.1,-1.4,1.69,1.7
1.15,-1.4,1.69,1.666
1.2,-1.4,1.74,1.686
1.25,-1.4,1.77,1.707
1.3,-1.4,1.81,1.678
1.35,-1.4,1.78,1.696
1.4,-1.4,1.85,1.719
1.45,-1.4,1.78,1.712
1.5,-1.4,1.83,1.726
1.55,-1.4,1.8,1.679
1.6,-1.4,1.86,1.669
1.65,-1.4,1.73,1.639
1.7,-1.4,1.76,1.629
1.75,-1.4,1.84,1.703
1.8,-1.4,1.97,1.74
1.85,-1.4,1.82,1.703
1.9,-1.4,1.87,1.654
1.95,-1.4,1.76,1.618
-2,0.5,1.32,1.528
-1.95,0.5,1.37,1.51
-1.9,0.5,1.32,1.503
-1.85,0.5,1.27,1.511
-1.8,0.5,1.32,1.507
-1.75,0.5,1.25,1.514
-1.7,0.5,1.35,1.499
-1.65,0.5,1.33,1.509
-1.6,0.5,1.32,1.511
-1.55,0.5,1.36,1.516
-1.5,0.5,1.42,1.519
-1.45,0.5,1.4,1.517
-1.4,0.5,1.38,1.513
-1.35,0.5,1.35,1.518
-1.3,0.5,1.41,1.522
-1.25,0.5,1.39,1.514
-1.2,0.5,1.38,1.506
-1.15,0.5,1.41,1.506
-1.1,0.5,1.37,1.514
-1.05,0.5,1.42,1.528
-1,0.5,1.42,1.536
-0.95,0.5,1.43,1.542
-0.9,0.5,1.44,1.55
-0.85,0.5,1.43,1.516
-0.8,0.5,1.44,1.524
-0.75,0.5,1.43,1.518
-0.7,0.5,1.43,1.532
-0.65,0.5,1.44,1.526
-0.6,0.5,1.43,1.526
-0.55,0.5,1.43,1.539
-0.5,0.5,1.45,1.529
-0.45,0.5,1.46,1.533
-0.4,0.5,1.46,1.534
-0.35,0.5,1.46,1.523
-0.3,0.5,1.45,1.542
-0.25,0.5,1.45,1.526
-0.2,0.5,1.44,1.534
-0.15,0.5,1.41,1.523
-0.1,0.5,1.42,1.529
-0.05,0.5,1.43,1.524
0,0.5,1.45,1.532
0.05,0.5,1.47,1.526
0.1,0.5,1.46,1.545
0.15,0.5,1.46,1.538
0.2,0.5,1.45,1.54
0.25,0.5,1.42,1.535
0.3,0.5,1.44,1.546
0.35,0.5,1.44,1.528
0.4,0.5,1.49,1.57
0.45,0.5,1.48,1.55
0.5,0.5,1.49,1.544
0.55,0.5,1.49,1.545
0.6,0.5,1.49,1.559
0.65,0.5,1.49,1.546
0.7,0.5,1.45,1.523
0.75,0.5,1.45,1.53
